,sentiment_scores,times
100,[0.0],2007-03-23
101,"[-0.7925140261650085, 0.0, -0.7327168724584686]",2007-03-26
102,"[-0.9485336232983895, -0.5026500130643939]",2007-03-27
103,"[-0.8597716940869493, -0.8227520577773488]",2007-03-28
104,"[-0.30003780954413944, -0.7568028230024012, 0.0, -0.33491029314658316, 0.0, -0.9548709392547607, 0.6060425870652709]",2007-03-29
105,"[0.0, 0.0, -0.5665540846399854]",2007-03-30
106,[-0.5681685861551536],2007-04-02
107,"[0.932770848274231, 0.0]",2007-04-03
108,"[-0.5880377695659281, 0.8996503829956055]",2007-04-04
109,"[-0.7700024528099118, -0.7673859596252441]",2007-04-05
110,[0.0],2007-04-06
111,"[0.910301923751831, 0.0, 0.0]",2007-04-11
112,"[0.3910382703358948, 0.0]",2007-04-12
113,[0.8026537355776776],2007-04-13
114,[0.7813893231478605],2007-04-16
115,"[-0.9592111404194976, 0.8633097640255041, 0.9457441568374634, -0.29285224089362744, 0.0, 0.0]",2007-04-17
116,"[0.852900818833765, 0.6779627239909666, -0.8422452902465355, 0.07472656847725452]",2007-04-18
117,[-0.964931845664978],2007-04-21
118,"[0.5534059797014509, -0.45719533471674934]",2007-04-23
119,"[0.38388006488482157, 0.4209586840698772, -0.05375963154541472]",2007-04-24
120,"[-0.7785015817932727, -0.36492954407419476]",2007-04-25
121,[-0.47084493019494666],2007-04-26
122,"[-0.9390694499015808, 0.7632343361873438, -0.3019843189291252, 0.487089482722459]",2007-04-27
123,[0.7045111863509469],2007-05-01
124,[-0.8319043517112732],2007-05-02
125,"[0.8595270848610032, -0.8343723541324578, -0.7321693845038867, 0.4401774272490083]",2007-05-03
126,"[0.7483022897941631, -0.29210431534351067]",2007-05-04
127,"[0.7284003392208455, -0.5120776210318913, 0.0]",2007-05-07
128,[-0.48592564307967273],2007-05-08
129,"[-0.5048079888025919, 0.0, 0.0]",2007-05-09
130,[-0.2982000855961305],2007-05-11
131,[-0.423697010635415],2007-05-13
132,[0.68255035377028],2007-05-14
133,[-0.878766129649646],2007-05-15
134,[0.6946616356677198],2007-05-16
135,"[0.8768042153811298, -0.42521968952389466, -0.962791895866394]",2007-05-17
136,"[-0.866028160811999, 0.19960362028498138]",2007-05-18
137,[0.6366500017046929],2007-05-21
138,"[0.573585569858551, 0.0]",2007-05-23
139,"[0.1696222100076796, 0.832266092300415, 0.0, -0.6588045358657837, -0.5244581238487839, -0.7084195322990418]",2007-05-24
140,"[0.9109954237937927, 0.8382477164268494]",2007-05-25
141,[-0.7042757091876523],2007-05-28
142,"[0.8928996324539185, -0.5130788988895244, 0.0, -0.36898838374925697]",2007-05-29
143,"[-0.2703513254438128, 0.9225873027451977]",2007-05-30
144,"[-0.2122298150438152, -0.4821467932092859, -0.11362824076207229, 0.0, 0.0]",2007-05-31
145,"[-0.42918164230497835, 0.48883533477783203, -0.7852705567341133]",2007-06-01
146,"[0.050597040335898964, -0.41329077713781126]",2007-06-04
147,"[-0.7105964380349152, -0.9109231746859021]",2007-06-05
148,[0.9428228735923767],2007-06-07
149,[-0.9517969489097595],2007-06-08
150,[0.0],2007-06-10
151,"[-0.635883201363767, 0.0, -0.9706430435180664, 0.7347547545480888]",2007-06-11
152,[-0.8286978006362915],2007-06-12
153,"[0.9357717633247375, -0.775857150554657, 0.0]",2007-06-14
154,[0.0],2007-06-16
155,[0.7091617499482575],2007-06-17
156,[0.0],2007-06-19
157,"[0.8882438540458679, 0.8935360373282919, 0.7094831849847522, 0.4174874694842213]",2007-06-20
158,"[0.0, -0.22710649967193602, -0.934551836671056, 0.8205950019419359, -0.5785214304924011]",2007-06-21
159,"[0.8467769491160574, -0.39207257186720834, 0.0]",2007-06-22
160,[-0.27016247307732816],2007-06-23
161,[-0.7128671929240227],2007-06-26
162,"[-0.46488905949804155, 0.0]",2007-06-27
163,"[0.0, -0.9723673462867737]",2007-06-29
164,[0.0],2007-07-02
165,[-0.9299827218055725],2007-07-03
166,[0.9039300370315918],2007-07-06
167,[-0.9347846082776611],2007-07-09
168,"[0.0, -0.529319198108187]",2007-07-10
169,[0.9054974317550659],2007-07-11
170,"[-0.9665644624403544, -0.32579160034656524]",2007-07-12
171,"[0.0, 0.2751614899240076]",2007-07-13
172,[0.0],2007-07-14
173,[0.0],2007-07-16
174,[0.6392761578975064],2007-07-17
175,"[-0.5462558875736009, -0.07281553060158916]",2007-07-18
176,"[0.2263548180139322, 0.6767311185319848, 0.3694830122168618, -0.46062142334201117, 0.0, 0.0, 0.0]",2007-07-20
177,[-0.6631323889682167],2007-07-23
178,"[0.0, -0.9619417486716209, 0.0, -0.7829026767979992]",2007-07-24
179,[-0.8027889247919093],2007-07-25
180,"[0.7636234104926228, -0.44757163524627686]",2007-07-26
181,"[-0.9647024555786236, -0.3701817981521363]",2007-07-27
182,"[-0.8536343074928631, 0.9250887268119388]",2007-07-31
183,[0.30072609137914896],2007-08-01
184,"[0.7619884038861856, -0.9274647753900258, 0.8481754660606384, -0.8248459731575346, -0.044768171103724094]",2007-08-02
185,"[-0.5081576392764137, 0.7042487121209866, -0.8807294353808792]",2007-08-03
186,[0.9285287468664107],2007-08-06
187,[0.9348762631416321],2007-08-07
188,"[0.267796582690288, -0.44850815894962853, 0.9038248174273407, -0.9643779511768871]",2007-08-09
189,"[-0.968784883583941, -0.7706032010816759, -0.9752746224403381]",2007-08-10
190,"[0.0, -0.9650919506688395, -0.4990338981151581]",2007-08-13
191,"[0.3758238155510878, 0.8596871495246887]",2007-08-14
192,"[0.9484962224960327, -0.37999938700569275]",2007-08-16
193,"[-0.6022943931371987, 0.5683693885803223, -0.9628659215418746]",2007-08-17
194,"[0.0, 0.48427870869636536]",2007-08-20
195,[-0.6734119515652878],2007-08-21
196,[-0.9716947190463543],2007-08-23
197,"[0.0, -0.9701936841011047]",2007-08-24
198,[0.0],2007-08-26
199,"[0.7507236875020541, -0.17922999408791068, -0.85601127243042, -0.6180915832519531]",2007-08-27
200,"[0.0, 0.0]",2007-08-28
201,[-0.36468169868808903],2007-08-30
202,[0.7631138711832882],2007-08-31
203,"[0.7445310402793733, 0.9199917454057476, 0.6137174525876884]",2007-09-03
204,"[0.6138221402617897, 0.0, -0.7007963061332703]",2007-09-04
205,"[0.8053748436651664, -0.9565441892040998]",2007-09-05
206,[0.0],2007-09-06
207,"[-0.9492159999826904, -0.9501380521870224]",2007-09-07
208,[-0.6363901119787716],2007-09-10
209,"[0.7428463989833616, 0.7297207152028037, 0.0]",2007-09-11
210,"[-0.7109048962593079, -0.7628892660140991, -0.734221875667572, 0.0]",2007-09-12
211,"[0.587774724848489, -0.5123731712929627, 0.9271119407245091]",2007-09-13
212,"[-0.666586697101593, 0.555875837802887]",2007-09-14
213,[-0.6764057874679565],2007-09-17
214,[0.8890195126300091],2007-09-18
215,"[-0.7013059258460999, -0.23357026385858592, -0.3111308258358795]",2007-09-19
216,"[-0.5073915529979889, -0.5116952343249884, -0.7162377015797202, 0.0]",2007-09-20
217,[0.0],2007-09-21
218,"[-0.6559056005498239, 0.0]",2007-09-24
219,"[0.8234845410563989, 0.0]",2007-09-26
220,"[-0.710789298952216, -0.9532336592674255]",2007-09-27
221,"[0.5934199094772339, 0.0]",2007-09-28
222,[-0.10167690597168387],2007-10-02
223,"[0.49402075154440744, 0.09189967305288402, -0.6008995175361633]",2007-10-03
224,"[0.33141876358216205, 0.0, -0.9740638732910156]",2007-10-04
225,[-0.9139090180397034],2007-10-08
226,"[0.0, -0.8808257897276628, 0.0]",2007-10-09
227,"[0.0, -0.512255927710754]",2007-10-11
228,"[0.4953956604003906, -0.5670140516414917]",2007-10-12
229,[0.0],2007-10-15
230,"[0.8638764023780823, 0.7578407927807991, 0.0, -0.5767678618431091, -0.7086926221847534, 0.7196976630937154]",2007-10-16
231,"[0.0, -0.8806236268620621]",2007-10-17
232,"[-0.9652122766810548, -0.8614808917045593]",2007-10-18
233,"[0.13570867478847504, 0.0, -0.2823314904649449, -0.5000862078506405]",2007-10-19
234,"[0.5525770722828158, -0.9733203478368972, -0.5887827876123409]",2007-10-22
235,"[0.9116960712785375, 0.0]",2007-10-23
236,"[-0.6737884791458354, 0.0]",2007-10-25
237,[0.7314481446519494],2007-10-27
238,[-0.6108955964286527],2007-10-30
239,"[0.7431796203931996, 0.8236414790153503, -0.9576316499662495, 0.0, 0.7201169920078286, -0.8750734329223633]",2007-11-01
240,[-0.920209527015686],2007-11-02
241,"[-0.762457250794278, 0.0, -0.8042060869401999]",2007-11-05
242,"[-0.9737769365310669, -0.6373022021599186, -0.28982305792717616, -0.29603002805355166]",2007-11-06
243,"[0.0, -0.7501838156332572, -0.9053952097892761]",2007-11-07
244,"[0.9443394541740417, -0.8977082967758179]",2007-11-08
245,"[-0.9226192235946655, -0.9321329888829775]",2007-11-09
246,"[0.0, -0.5092562723469425, 0.0]",2007-11-12
247,"[-0.9453151491368452, -0.9445535098603749]",2007-11-13
248,[0.5002270434915688],2007-11-14
249,"[0.681078388721128, 0.24627506430136328, 0.8719838857650757]",2007-11-15
250,[0.814631998538971],2007-11-16
251,"[0.7394147071557198, -0.06803946212765678, -0.9375889089179461, -0.9712246878000049, -0.9257457310171259]",2007-11-19
252,[0.31114268290924596],2007-11-20
253,[0.0],2007-11-23
254,"[0.8492247641086579, -0.5945337894486218]",2007-11-26
255,"[-0.5081230459285627, -0.6619914610674427]",2007-11-27
256,[0.43392705547867944],2007-11-28
257,"[0.28556943587911154, -0.42555862183004567, 0.0, 0.0]",2007-11-29
258,"[-0.8426917082858536, -0.2671892392885435]",2007-11-30
259,"[0.0, -0.9283561110496521]",2007-12-04
260,"[0.3105923545360565, 0.152259116849074]",2007-12-05
261,"[-0.937372629554608, 0.0]",2007-12-06
262,"[0.07464321908690416, 0.6328260324507232]",2007-12-07
263,[0.7837485951992372],2007-12-08
264,[0.8204719057200065],2007-12-10
265,[0.0],2007-12-11
266,[-0.6458651136560559],2007-12-12
267,"[-0.9709139466285706, -0.9089510771068366]",2007-12-13
268,"[-0.7033580541610718, -0.13043698363997988]",2007-12-14
269,"[0.0, -0.5763186812400818]",2007-12-17
270,[-0.5751188622374479],2007-12-18
271,[0.0],2007-12-20
272,[-0.6809778327981714],2007-12-21
273,[0.0],2007-12-26
274,"[-0.8299550414085388, -0.8458659052848816]",2007-12-27
275,"[-0.6301040866384945, -0.4126980279139178]",2007-12-28
276,[-0.9431525468826294],2007-12-31
277,[-0.8881731582134532],2008-01-02
278,[-0.9690030217170715],2008-01-03
279,"[-0.7797587414582571, 0.581158374122041]",2008-01-04
280,[-0.9609503149986267],2008-01-07
281,[0.20166590803626175],2008-01-08
282,[0.4928304678070056],2008-01-11
283,[0.4305502977662199],2008-01-14
284,[0.0],2008-01-15
285,"[0.0, -0.1461008783120996, -0.22818007897323286]",2008-01-16
286,[0.9155734181404114],2008-01-17
287,"[0.49317910821072053, 0.0, 0.0]",2008-01-18
288,[-0.9562008425308258],2008-01-19
289,[0.0],2008-01-20
290,[0.5806413033381611],2008-01-21
291,"[-0.7266640067100525, -0.9199894437550834, -0.8202223181724548, 0.0]",2008-01-22
292,"[-0.0808815289618995, -0.22168381212267485, -0.9203267046899507, -0.26014388139758793]",2008-01-23
293,"[-0.476883788542314, -0.6143555926540183, -0.6769168376922607, -0.9320281751316749, -0.47930284005375534]",2008-01-24
294,"[-0.9488635063171387, 0.6962366935096268, -0.8701015868462807]",2008-01-25
295,[-0.9305798411369324],2008-01-29
296,[-0.7464017239718661],2008-01-30
297,"[0.0, -0.7172368390540871, 0.6584433582497806, 0.10464614711535733]",2008-01-31
298,"[-0.03308496046265798, -0.702178691808306]",2008-02-01
299,[0.0],2008-02-04
300,"[0.5146078949988778, -0.9405935406684875]",2008-02-05
301,"[-0.7889711665690119, 0.0]",2008-02-06
302,"[-0.6864326552433127, 0.0, 0.0]",2008-02-07
303,"[-0.9645385146141052, -0.9488490223884583]",2008-02-11
304,[-0.9557723999023438],2008-02-12
305,"[-0.9381971783219022, 0.0, -0.8742283627342323, 0.0]",2008-02-13
306,"[-0.5459627163906892, -0.37341492780910923, 0.0]",2008-02-14
307,[-0.7994657241246279],2008-02-15
308,"[-0.9385254383087158, 0.0]",2008-02-18
309,"[-0.6147801503843191, 0.6544318199157715, -0.9362944304328604]",2008-02-19
310,"[0.0, 0.0, -0.7963019586280587]",2008-02-20
311,[0.0],2008-02-21
312,"[0.0, 0.5091827266159272]",2008-02-22
313,"[-0.9710261821746826, -0.597305417060852]",2008-02-25
314,"[0.0, 0.023181057723772103, 0.4453943182581802]",2008-02-26
315,"[0.7640193398684672, 0.0, -0.9049144939760144, -0.3141871466758145, -0.5923019051551819, -0.7612834112178645]",2008-02-27
316,"[0.0, 0.685167912642161, -0.8256148732652413, -0.029864163655645745, -0.9460132134266389]",2008-02-28
317,"[-0.5052781033634941, -0.7133027074342951, 0.9412080075913098, -0.6120001479335453]",2008-02-29
318,"[-0.9553380012512207, 0.5867711609850327]",2008-03-03
319,"[-0.8693807793490459, -0.5153793371640719]",2008-03-04
320,"[-0.7735807299613953, 0.0, 0.0, -0.7794925801641723]",2008-03-05
321,"[-0.9023444479162043, -0.9751758575439453]",2008-03-06
322,"[-0.24757151655165985, -0.6812844312379164, 0.8141520940875173, -0.9688881039619446]",2008-03-07
323,[-0.8130143284797668],2008-03-09
324,[-0.9154690437435363],2008-03-12
325,"[-0.9084110398815103, 0.5195267259739129]",2008-03-14
326,[-0.33258232353913664],2008-03-17
327,[-0.1528498501760774],2008-03-18
328,[-0.9570364356040955],2008-03-19
329,"[-0.6761679161025818, 0.820991039276123]",2008-03-20
330,[0.0],2008-03-21
331,[0.0],2008-03-24
332,"[-0.8160913586616516, 0.5828950109012122]",2008-03-25
333,[-0.5223280983356684],2008-03-26
334,[-0.7323889572595813],2008-03-28
335,[0.0],2008-03-31
336,"[0.8115825106908088, -0.9060180400734517]",2008-04-01
337,"[0.3063219942118787, -0.8673521280288696, 0.5623549818992615]",2008-04-03
338,[-0.7063851952552795],2008-04-07
339,"[0.0, 0.0]",2008-04-08
340,"[-0.86499894192306, 0.606889330434686, 0.3851521658342938, 0.577729614505218]",2008-04-14
341,"[-0.9445970058441162, 0.6972282528877258]",2008-04-15
342,[0.4355474664614751],2008-04-17
343,"[0.597381029251867, 0.49861085414886475, -0.5300973697986893, 0.946893572807312]",2008-04-18
344,"[-0.5452290177345276, -0.9065125977451151, 0.0, 0.8178934385408118]",2008-04-21
345,[0.8853637706341706],2008-04-22
346,"[0.0, 0.6666894480586052, 0.0, -0.358475530978109]",2008-04-23
347,"[-0.9747738242149353, -0.43025317423495346, -0.9716678862154049]",2008-04-25
348,[0.9281853437423706],2008-04-26
349,[-0.5171172151860502],2008-04-27
350,"[0.5969851243556762, 0.0, 0.9466860890388489]",2008-04-28
351,"[0.0, -0.655937886987057, -0.8701251745223999, -0.9389354084667406]",2008-04-29
352,"[0.8894806858618873, 0.0, -0.753625120478447]",2008-04-30
353,[-0.8855825066566467],2008-05-01
354,[-0.5620301365852356],2008-05-02
355,[-0.958275318145752],2008-05-05
356,[0.5810045385767278],2008-05-07
357,"[-0.7154781427876703, -0.5433564258710987, -0.33452751227332084]",2008-05-08
358,[-0.48622790368494656],2008-05-09
359,"[-0.7791836626220927, 0.0]",2008-05-12
360,[0.2638597949452684],2008-05-13
361,[0.0],2008-05-15
362,[-0.766514033495963],2008-05-20
363,[0.0],2008-05-29
364,[-0.9702015519142151],2008-05-30
365,"[0.15495082349638883, 0.0, 0.0]",2008-06-04
366,[0.0],2008-06-10
367,[-0.27415968431449084],2008-06-11
368,[0.7923851345406204],2008-06-27
369,[-0.7166974544525146],2008-08-06
370,"[0.0, 0.0]",2008-08-13
371,[0.0],2008-08-27
372,[0.0],2008-09-05
373,[0.11037199763846266],2008-09-08
374,[0.0],2008-09-09
375,[0.6142169833183289],2008-09-10
376,[-0.7227356149189508],2008-09-12
377,[0.9423248902831911],2008-09-25
378,[-0.9655657410621643],2008-09-29
379,[-0.8025350080997454],2008-09-30
380,[0.27525147988728665],2008-10-01
381,[0.0],2008-10-02
382,[-0.9655399164184928],2008-10-03
383,[0.0],2008-10-08
384,[-0.8283892869949341],2008-10-09
385,[-0.9687182404597601],2008-10-15
386,"[-0.9279900789260864, -0.8271713501804477]",2008-10-21
387,[0.0],2008-10-22
388,[-0.7485365075016789],2008-10-28
389,[0.0],2008-11-05
390,[-0.7607315688876052],2008-11-06
391,"[-0.969112753868103, -0.9163867040556304]",2008-11-12
392,[0.0],2008-11-17
393,"[-0.7479506810506185, 0.0, 0.5836635231971741]",2008-11-20
394,[0.0],2008-11-21
395,[0.0],2008-11-25
396,[-0.6710496373619426],2008-11-26
397,[-0.41263622434242914],2008-11-28
398,[-0.9168228438387367],2008-12-01
399,[0.0],2008-12-04
400,[0.0],2008-12-08
401,"[0, 0]",2008-12-10
402,[-0.7451129729353537],2008-12-12
403,"[-0.13142908329478042, 0.0]",2008-12-15
404,"[0.0, 0.0]",2008-12-23
405,[0.0],2008-12-29
406,[0.0],2009-01-02
407,"[-0.6712959996099332, -0.7097816292581887]",2009-01-05
408,"[-0.9657830595970154, -0.5986136301250309]",2009-01-06
409,[0.0],2009-01-07
410,"[0, 0.0, -0.8606786533012702]",2009-01-09
411,[0.0],2009-01-10
412,[0.9331152439117432],2009-01-12
413,[0.8917023539543152],2009-01-14
414,"[0, 0.0]",2009-01-17
415,"[-0.8398295640945435, 0.0, -0.903019669190259]",2009-01-20
416,[-0.9384638071060181],2009-01-21
417,[0.4513297194264472],2009-01-22
418,[-0.6068668961524963],2009-01-24
419,"[0.0, -0.36295473711917786]",2009-01-26
420,[0],2009-01-30
421,[0.0],2009-02-01
422,[-0.7204802314440409],2009-02-03
423,[0.6982177886927482],2009-02-06
424,[0.0],2009-02-11
425,[0],2009-02-16
426,[-0.9394780853607135],2009-02-17
427,[0.0],2009-02-18
428,[0.0],2009-02-19
429,[0.0],2009-02-20
430,"[0.0, 0.0]",2009-02-23
431,[0],2009-02-24
432,"[0.0, 0, 0]",2009-02-25
433,"[-0.9738067388534546, -0.8775538802146912]",2009-02-26
434,[0.0],2009-03-03
435,[0],2009-03-04
436,"[0.0, 0]",2009-03-11
437,[0.6596595048904419],2009-03-12
438,"[0.04661644791527618, -0.7939575001720555]",2009-03-16
439,"[0, -0.9230320994735609]",2009-03-18
440,[-0.5162432216680967],2009-03-19
441,[0.0],2009-03-24
442,"[0.0, -0.9708399772644043]",2009-03-25
443,"[0.9019199013710022, -0.7168117165565491, 0.8002447485923767]",2009-03-30
444,"[0.0, 0.0]",2009-03-31
445,[-0.6788517236709595],2009-04-01
446,[0.0],2009-04-07
447,"[-0.3713054533293045, 0.0]",2009-04-08
448,[-0.3546085611987581],2009-04-09
449,[0.0],2009-04-14
450,[-0.6292980631192525],2009-04-15
451,"[0, -0.17003494290447146, 0.0]",2009-04-16
452,[0.4745562970638275],2009-04-18
453,"[0.0, -0.9373649954795837]",2009-04-20
454,"[-0.9489274621009827, 0]",2009-04-21
455,"[0.5721803007376223, -0.45980446155254656, 0.0]",2009-04-22
456,"[-0.9478552066362821, 0.0, 0.0]",2009-04-23
457,"[0.0, 0.0]",2009-04-24
458,[0.6706549696982032],2009-04-25
459,[0.0],2009-04-29
460,"[0.0, -0.18928892283994625]",2009-05-04
461,[0.0],2009-05-07
462,[0.0],2009-05-08
463,"[0, 0.0, 0]",2009-05-11
464,[0.0],2009-05-12
465,[0.0],2009-05-13
466,"[-0.900116048886524, 0.0]",2009-05-14
467,[-0.9377155486868802],2009-05-17
468,[-0.05151117268804504],2009-05-18
469,"[0.0, 0.0, 0]",2009-05-19
470,[0.0],2009-05-20
471,"[0, 0]",2009-05-21
472,[0],2009-05-25
473,[-0.30125011801719664],2009-05-26
474,"[0, 0.0]",2009-05-27
475,[0],2009-05-29
476,"[0.0, 0.0, 0]",2009-06-01
477,"[-0.5045475788647309, -0.7986645550727844]",2009-06-02
478,"[-0.16138460700514232, 0.8786471388676821]",2009-06-04
479,[0.0],2009-06-08
480,"[0.0, 0.9371143728494644]",2009-06-10
481,[0.761956360440692],2009-06-12
482,"[0, 0.0, 0.0, 0]",2009-06-15
483,[0.0],2009-06-16
484,[-0.25663416792800137],2009-06-18
485,"[0.0, 0.9069185256958008, 0.0]",2009-06-19
486,"[0.0, 0]",2009-06-24
487,[0.0],2009-06-26
488,"[0.9022083878517151, 0.0]",2009-06-29
489,"[0, -0.18296560722178426]",2009-06-30
490,[-0.32420161956380145],2009-07-08
491,[-0.5432294831615113],2009-07-09
492,"[-0.330780014366553, 0.0]",2009-07-13
493,[0],2009-07-15
494,"[0, -0.27679092846845027]",2009-07-16
495,[-0.6708745132132274],2009-07-21
496,"[0.0, 0.7926447026985736, -0.5438768380124804]",2009-07-27
497,[-0.9681462645530701],2009-07-28
498,[-0.2871030995798657],2009-07-29
499,[-0.7792690575617478],2009-07-30
500,"[0.0, -0.631736861014193]",2009-07-31
501,[0.0],2009-08-03
502,"[-0.32347440949738254, 0.0]",2009-08-04
503,[0.19972318490879648],2009-08-06
504,"[-0.22544012665088523, 0.0, 0.0]",2009-08-11
505,[0.0],2009-08-17
506,"[-0.38237455359180905, 0]",2009-08-18
507,[-0.3905457269144422],2009-08-21
508,"[-0.17731172582035046, 0.0]",2009-08-24
509,[0],2009-08-26
510,[-0.28697472531012247],2009-08-27
511,"[0, -0.3932215894261996]",2009-08-31
512,[0],2009-09-01
513,[-0.668201855938844],2009-09-03
514,"[0.0, 0.0]",2009-09-04
515,[0.0],2009-09-08
516,"[0, 0.0, 0.0, 0.12182648667251415]",2009-09-09
517,"[-0.6295724750878725, 0.09635340751905587, 0.0]",2009-09-11
518,"[0.24367208942407514, 0, -0.9249029107995935, -0.29762979527292155]",2009-09-15
519,[-0.3995881684052731],2009-09-16
