times,sentiment_scores
2007-01-09,"[-0.11919480464229845, -0.9974062716552481, -0.9990672879085625, -0.9689299776110538]"
2007-01-10,"[-0.9876708984375, -0.9871630072593689]"
2007-01-11,"[-0.016604394455788485, -0.9951237967248597]"
2007-01-12,[-0.8435688490958634]
2007-01-16,[-0.990968644618988]
2007-01-18,"[-0.9957720637321472, -0.9935732483863831, -0.7783794618718992]"
2007-01-19,[-0.9917009472846985]
2007-01-22,"[0.4389056346401157, 0.8198930621147156, -0.9993931122364537]"
2007-01-23,"[-0.9040955915470149, -0.8984087353253233]"
2007-01-24,"[-0.9279098325886632, -0.9965810179710388, -0.9909706518930548, -0.9881495088629323]"
2007-01-25,[-0.9952854514122009]
2007-01-26,"[-0.9471622078042281, -0.9637067902937024]"
2007-01-29,[-0.5481939479305937]
2007-01-30,"[0.21234843809649628, -0.9858372211456299, -0.990690769468035, -0.9279876204077587]"
2007-01-31,"[-0.9956893877088447, -0.9321598745710838, -0.9911037683486938, 0.31035873462115565, -0.8798117794666345, -0.9957006301057066]"
2007-02-01,"[-0.9831183840099134, -0.9979679099675538]"
2007-02-02,"[0.9342936497070602, -0.9878634214401245]"
2007-02-03,[0.8977286219596863]
2007-02-04,[-0.8631317562106028]
2007-02-05,"[-0.9925398230552673, -0.8680850815128636, 0.9334675020572403]"
2007-02-06,"[-0.9905960536890679, -0.9832875222471508]"
2007-02-07,"[-0.9893076790703668, -0.994308419788585, -0.9956244488290492]"
2007-02-08,"[-0.9320360355907016, -0.981619577516209, -0.5576372339221964, -0.9969435191656725, -0.05023869336661646]"
2007-02-09,[-0.9982631660709627]
2007-02-12,"[-0.8884175171309936, -0.9951229485660169, 0.20362174172773428, -0.3428390502685906, -0.7896034844870706]"
2007-02-15,"[-0.9974583634700988, -0.651859481467141]"
2007-02-16,"[-0.7183591860991257, -0.9970698356628418, -0.9956844932154605]"
2007-02-20,[-0.9938151921030258]
2007-02-21,[-0.6733700469057396]
2007-02-22,[-0.9799373403127613]
2007-02-23,[-0.997114280021813]
2007-02-27,"[-0.9881193376470495, -0.8681388688537309, 0.9124337719089683, -0.998828807593649, -0.9244471785837206]"
2007-02-28,"[-0.9996660947799683, 0.954105302344921]"
2007-03-01,[-0.988570528524416]
2007-03-02,"[-0.7895323474576154, -0.9964570577117219]"
2007-03-05,"[-0.9948461352088727, -0.6857682592857818]"
2007-03-06,"[-0.9978581070899963, -0.9279329818074066]"
2007-03-07,"[-0.8198996368430842, -0.9950695391428672, -0.9209662054975828]"
2007-03-08,"[0.6636522907715339, -0.010911032997801738, -0.988084549635229, -0.8691326980283874, -0.9848156374963847, -0.9945322757386892, 0.9337361454963684]"
2007-03-09,[-0.9993133114383788]
2007-03-12,"[-0.9335281895656212, -0.9981882480400308]"
2007-03-13,[-0.9992417097091675]
2007-03-14,[-0.9904164291090436]
2007-03-15,"[-0.9884318709373474, 0.5668566226959229, -0.8412032127380371, -0.9690276980400085, 0.09818659440231843, -0.343560169781408]"
2007-03-16,[-0.9878320669339709]
2007-03-18,[-0.9978983402252197]
2007-03-19,[-0.8456886241755147]
2007-03-20,"[-0.9960272543960147, -0.9976009726524353]"
2007-03-21,"[-0.9972451114183203, -0.9476263094070945, -0.9994213581085205, -0.9932252053588514, -0.9782693982124329]"
2007-03-22,"[-0.8646052954148273, -0.9151676624266218, -0.9972196966409683, -0.9913071990013123]"
2007-03-23,[0.9876698851585388]
2007-03-26,"[-0.9988803267478943, -0.8268344104840883, -0.9941577886154498]"
2007-03-27,"[-0.9989495473044911, -0.9863236254394645]"
2007-03-28,"[-0.9737030593711977, -0.9952568318558206]"
2007-03-29,"[-0.3771967424286736, -0.967624081200675, -0.8211246132850647, -0.8657964181776917, -0.6233968138694763, -0.9969979524612427, 0.24308716532375133]"
2007-03-30,"[-0.9901564121246338, -0.993334967654556, -0.9161816566391329]"
2007-04-02,[-0.1734587145301531]
2007-04-03,"[-0.997979462146759, -0.8977936127190698]"
2007-04-04,"[-0.9173143865839805, 0.9559986543655395]"
2007-04-05,"[-0.9854573213548732, -0.9975988268852234]"
2007-04-06,[-0.9940111041069031]
2007-04-11,"[0.544743537902832, -0.9885584464887294, -0.9967138767242432]"
2007-04-12,"[-0.28605625304308807, -0.8047000765800476]"
2007-04-13,[0.6425271544591147]
2007-04-16,[-0.6181686141274192]
2007-04-17,"[-0.9983383123621796, -0.9863610902027777, -0.9861556887626648, -0.9799761442822705, -0.9920312166213989, -0.9836521148681641]"
2007-04-18,"[-0.4993060197470323, -0.6727116269798115, -0.9450517572521224, 0.007843714868518668]"
2007-04-21,[-0.9988822340965271]
2007-04-23,"[-0.9813669162137167, -0.9964346200506263]"
2007-04-24,"[-0.5700641477108002, -0.9888004833591473, -0.9875145245201981]"
2007-04-25,"[-0.9985592363732639, -0.9971490537836438]"
2007-04-26,[-0.9820637115512986]
2007-04-27,"[-0.9986590147018433, -0.9944655454099769, -0.9977693506913592, 0.03452033724313901]"
2007-05-01,[-0.8924541240153105]
2007-05-02,[-0.9974984526634216]
2007-05-03,"[-0.8062122576673266, -0.9952494806456335, -0.9308264847219425, -0.9798401011509842]"
2007-05-04,"[0.7394885901588103, -0.9775393884844762]"
2007-05-07,"[-0.4203296513404957, -0.9976819608699191, -0.9938730001449585]"
2007-05-08,[-0.996836050776708]
2007-05-09,"[-0.9962186299118341, -0.9300959595812207, -0.9887775778770447]"
2007-05-11,[-0.996523351455413]
2007-05-13,[-0.9007073679695958]
2007-05-14,[-0.6827534895446432]
2007-05-15,[-0.9879370583177178]
2007-05-16,[-0.9471056112583648]
2007-05-17,"[0.26496976014039186, -0.9950067123840485, -0.9878480161389996]"
2007-05-18,"[-0.9731717627400007, -0.5462215146803938]"
2007-05-21,[-0.46788509130477907]
2007-05-23,"[-0.9951677322387695, -0.9457372426986694]"
2007-05-24,"[-0.932498310185686, -0.9875841736793518, -0.9952974915504456, -0.9948770403862, -0.9890036938580439, -0.9875155725479126]"
2007-05-25,"[-0.9942483901977539, -0.997760534286499]"
2007-05-28,[-0.8174101117963761]
2007-05-29,"[-0.9014720916748047, -0.9615009215500978, -0.7904367446899414, -0.9923619751308276]"
2007-05-30,"[-0.9766939166613987, -0.4543175743176387]"
2007-05-31,"[-0.1396262333409427, -0.9969911964881227, -0.9928510755697366, -0.9968185424804688, -0.9922730326652527]"
2007-06-01,"[-0.9977039453205124, -0.9889304041862488, -0.9978834904473404]"
2007-06-04,"[-0.6381877421349884, -0.9241152874857401]"
2007-06-05,"[-0.9981308899104455, -0.9920293472615289]"
2007-06-07,[0.9926208257675171]
2007-06-08,[-0.9994631409645081]
2007-06-10,[-0.9961893219805829]
2007-06-11,"[-0.7750861511438856, -0.7875223755836487, -0.9992462396621704, -0.8628844626771168]"
2007-06-12,[-0.9989713430404663]
2007-06-14,"[-0.9966436624526978, -0.9961214661598206, -0.9919313788414001]"
2007-06-16,[-0.9802784323692322]
2007-06-17,[-0.9909895070921189]
2007-06-19,[-0.9827594757080078]
2007-06-20,"[-0.7461231350898743, 0.9418879200001152, -0.3273251823016575, -0.9064582653765408]"
2007-06-21,"[-0.3083907663167178, -0.9815303548024251, -0.9994687860076492, -0.9508970326699918, -0.9992030262947083]"
2007-06-22,"[-0.7897635658094488, -0.13772917148144115, -0.9899337887763977]"
2007-06-23,[-0.8000917838349781]
2007-06-26,[-0.9387274712726876]
2007-06-27,"[-0.9953429877961455, -0.9844686790460648]"
2007-06-29,"[-0.7930697202682495, -0.9990076422691345]"
2007-07-02,[-0.9989614486694336]
2007-07-03,[-0.998914361000061]
2007-07-06,[-0.9943098800416281]
2007-07-09,[-0.9564330483737745]
2007-07-10,"[-0.9888684749603271, -0.9988507307043263]"
2007-07-11,[-0.9496833384037018]
2007-07-12,"[-0.998899325302669, -0.9919653058052063]"
2007-07-13,"[0.8568214581507009, -0.9962900733565264]"
2007-07-14,[-0.9977830052375793]
2007-07-16,[-0.9934997019213689]
2007-07-17,[-0.5830329848468147]
2007-07-18,"[-0.7326059601245782, -0.8740991920346958]"
2007-07-20,"[-0.4528421014547348, 0.9709377623050013, -0.8816739373435878, -0.5988193045962941, -0.9927853345870972, -0.5593138247524687, -0.9056171178817749]"
2007-07-23,[-0.9988906050983228]
2007-07-24,"[-0.9947710633277893, -0.9982600375669166, 0.9386617541313171, -0.293665455504767]"
2007-07-25,[-0.9979502200391251]
2007-07-26,"[-0.25930654936692055, -0.9593331813812256]"
2007-07-27,"[-0.9985403627962679, -0.9797103775151451]"
2007-07-31,"[-0.9989899306947535, -0.9765114229586389]"
2007-08-01,[0.3520293653141748]
2007-08-02,"[0.1676476407347873, -0.9980032776870861, -0.804990291595459, -0.9991336377867817, -0.985841699423455]"
2007-08-03,"[-0.984855572382609, -0.96955027231356, -0.9964994447377928]"
2007-08-06,[-0.8060655997645471]
2007-08-07,[-0.8268045783042908]
2007-08-09,"[-0.9971782867807136, -0.9977939281004742, -0.8985263064107525, -0.9993876692433619]"
2007-08-10,"[-0.9986943364418682, -0.9964349103812947, -0.9995546936988831]"
2007-08-13,"[0.7687139864672314, -0.9992659946003992, -0.9504900574684143]"
2007-08-14,"[0.9563703845985888, -0.99078369140625]"
2007-08-16,"[-0.8472352027893066, -0.3096284108347]"
2007-08-17,"[-0.9960351347112332, -0.9833093285560608, -0.9994373221805587]"
2007-08-20,"[-0.8679673671722412, -0.9990594983100891]"
2007-08-21,[-0.959253662938318]
2007-08-23,[-0.9987015202641487]
2007-08-24,"[-0.9924953369133372, -0.9988095760345459]"
2007-08-26,[-0.5353510975837708]
2007-08-27,"[-0.9971053579149867, -0.9967347013714951, -0.7731636068026225, -0.9958338737487793]"
2007-08-28,"[-0.999341594084334, -0.9885756997259345]"
2007-08-30,[-0.9886480548843712]
2007-08-31,[-0.9912335393134127]
2007-09-03,"[0.9447231585656767, -0.9892244365025608, -0.9857161536248595]"
2007-09-04,"[0.576139300100265, -0.977214028931115, -0.9996488094329834]"
2007-09-05,"[-0.7474109043065089, -0.9978297997258848]"
2007-09-06,[-0.8645383715629578]
2007-09-07,"[-0.9978169241259175, -0.9995866107517446]"
2007-09-10,[-0.9894961860573408]
2007-09-11,"[-0.32735498952415754, -0.9766628716978266, -0.9945064868245806]"
2007-09-12,"[-0.9964513778686523, -0.9989259839057922, -0.9152998924255371, -0.996815025806427]"
2007-09-13,"[-0.9763818708564173, -0.978414177309085, -0.9825590763773236]"
2007-09-14,"[-0.9934501647949219, -0.9956758618354797]"
2007-09-17,[-0.9953048229217529]
2007-09-18,[-0.986180588082]
2007-09-19,"[-0.997252881526947, -0.9594350542700241, -0.9802239484863706]"
2007-09-20,"[-0.49142789346161886, -0.9978304686039452, -0.9827820504021026, -0.9418540596961975]"
2007-09-21,[-0.9859108924865723]
2007-09-24,"[-0.9980904054540053, -0.7988090515136719]"
2007-09-26,"[-0.9545198985916412, -0.9910194277763367]"
2007-09-27,"[-0.5716116226250583, -0.9990856647491455]"
2007-09-28,"[-0.9972255229949951, -0.991330623626709]"
2007-10-02,[-0.7795415732958545]
2007-10-03,"[-0.7844046929052898, -0.9970730830223189, -0.6637376546859741]"
2007-10-04,"[-0.9848073019286779, -0.9844698147340254, -0.9992102384567261]"
2007-10-08,[-0.999277651309967]
2007-10-09,"[0.9719519150811572, -0.9952474619212903, -0.9962332844734192]"
2007-10-11,"[-0.9856879711151123, -0.23330540385090875]"
2007-10-12,"[-0.9795870966521291, 0.23773217983811878]"
2007-10-15,[-0.9986318945884705]
2007-10-16,"[-0.9927317500114441, -0.028241144664440315, -0.9961099028587341, -0.7195645570755005, -0.9970480630669413, -0.9486889087950806]"
2007-10-17,"[-0.9983441829681396, -0.9987049804070597]"
2007-10-18,"[-0.9993821749773607, -0.9987953901290894]"
2007-10-19,"[-0.9872359149158001, -0.9865931868553162, -0.9968427808838138, -0.8022049470108097]"
2007-10-22,"[0.10976698173833202, -0.9991163891026492, -0.9943254864910274]"
2007-10-23,"[0.6402317812733918, -0.9854334355682455]"
2007-10-25,"[-0.9931868612766266, -0.6314780952055243]"
2007-10-27,[0.32915483430648845]
2007-10-30,[-0.3189576677898268]
2007-11-01,"[-0.7401380366766391, 0.7697446346282959, -0.9990019005929639, 0.9901436567306519, -0.9351969294924194, -0.9985589385032654]"
2007-11-02,[-0.9988497495651245]
2007-11-05,"[-0.9951082874379149, -0.41746200909826875, -0.6591400900941011]"
2007-11-06,"[-0.9996123909950256, -0.9992713787023304, -0.4560535581551991, -0.8468136167969585]"
2007-11-07,"[-0.9985820055007935, -0.9975112906346718, -0.9977056384086609]"
2007-11-08,"[-0.6622553467750549, -0.9990983009338379]"
2007-11-09,"[-0.998814582824707, -0.9509444005751724]"
2007-11-12,"[0.0393162853688473, -0.9897522872144525, -0.8301978494439807]"
2007-11-13,"[-0.9963232118134214, -0.9962484850584683]"
2007-11-14,[-0.91454406151745]
2007-11-15,"[0.08225644106351876, -0.9820045554701657, -0.6274767518043518]"
2007-11-16,[-0.9982892870903015]
2007-11-19,"[0.36092656733655815, -0.9028246173491845, -0.9965067410320199, -0.9961394603763308, -0.9993228894097882]"
2007-11-20,[-0.9275846695995906]
2007-11-23,[-0.9946624636650085]
2007-11-26,"[0.9837647676467896, -0.9966511828143422]"
2007-11-27,"[-0.9990748647493617, -0.9817991723680193]"
2007-11-28,[-0.07762095395348007]
2007-11-29,"[-0.9112481694740019, -0.9990987904921251, -0.39384368180178336, -0.9830631017684937]"
2007-11-30,"[-0.7456532578583998, -0.9975194799038636]"
2007-12-04,"[-0.9956175088882446, -0.998158872127533]"
2007-12-05,"[-0.3945972514152527, -0.49548003321083695]"
2007-12-06,"[-0.9992955565834657, -0.9540605588464548]"
2007-12-07,"[-0.9042116887740308, 0.14160935692441812]"
2007-12-08,[-0.7018493528788289]
2007-12-10,[-0.946663256724459]
2007-12-11,[-0.8386109373938869]
2007-12-12,[-0.3409294131138513]
2007-12-13,"[-0.9955084323883057, -0.8690803405400869]"
2007-12-14,"[-0.9986584186553955, -0.9595378220265864]"
2007-12-17,"[0.9763829708099365, -0.9948114156723022]"
2007-12-18,[-0.9961061706106951]
2007-12-20,[-0.6396182974179586]
2007-12-21,[-0.9984927397680183]
2007-12-26,[-0.8314463496208191]
2007-12-27,"[-0.9937264919281006, -0.9989963173866272]"
2007-12-28,"[-0.9976793432834258, -0.2904984160454687]"
2007-12-31,[-0.9977191090583801]
2008-01-02,[-0.9635213072430503]
2008-01-03,[-0.9985800981521606]
2008-01-04,"[-0.9959604290003577, -0.9776911555887934]"
2008-01-07,[-0.9990035891532898]
2008-01-08,[-0.9870263982463527]
2008-01-11,[-0.9625856581170477]
2008-01-14,[-0.9951190290253932]
2008-01-15,[-0.9742843508720398]
2008-01-16,"[-0.9949087500572205, -0.9773830870283033, -0.9861799735978176]"
2008-01-17,[-0.6892668008804321]
2008-01-18,"[0.6317797411171213, -0.9955211877822876, -0.864092230796814]"
2008-01-19,[-0.9952472098404307]
2008-01-20,[-0.97812891856324]
2008-01-21,[-0.9792910392592553]
2008-01-22,"[-0.996623158454895, -0.9007134249947529, -0.9963871240615845, -0.9980460405349731]"
2008-01-23,"[-0.9646871447748567, -0.9971315212844553, -0.9128154689615423, -0.6474754354731547]"
2008-01-24,"[-0.9935695577751507, -0.9990309253622667, -0.9751729519812615, -0.9260102923662384, -0.9885382778208021]"
2008-01-25,"[-0.999647855758667, -0.9122940303836661, -0.8139038425831755]"
2008-01-29,[-0.9963151812553406]
2008-01-30,[-0.8911378932343493]
2008-01-31,"[0.047674505483536495, -0.9767954204924344, -0.9156071638188711, 0.05016815079628501]"
2008-02-01,"[-0.9912586182231184, -0.9846568951524978]"
2008-02-04,[-0.9931695422818584]
2008-02-05,"[-0.9893773914273105, -0.9991325736045837]"
2008-02-06,"[-0.9365915049616866, -0.995635526699956]"
2008-02-07,"[-0.4414256618303411, -0.991269239043513, -0.9988419236067463]"
2008-02-11,"[-0.9987420439720154, -0.997191846370697]"
2008-02-12,[-0.9993429780006409]
2008-02-13,"[-0.9970446061888499, -0.996513307094574, -0.9777548918894914, -0.9978406429290771]"
2008-02-14,"[-0.8529187100629012, -0.9914202801699709, -0.9982092380523682]"
2008-02-15,[-0.9967028381193386]
2008-02-18,"[-0.9987562894821167, -0.7466443181037903]"
2008-02-19,"[-0.3892353201399044, -0.9823890328407288, -0.9995095150986898]"
2008-02-20,"[-0.9775531245136417, -0.6929226982242921, -0.9942153680260635]"
2008-02-21,[-0.9945980310440063]
2008-02-22,"[-0.9167982935905457, -0.9789047798694606]"
2008-02-25,"[-0.9996464252471924, -0.9982036352157593]"
2008-02-26,"[-0.9876173138618469, -0.9867038886838404, -0.36490336421189035]"
2008-02-27,"[-0.7099782662848904, 0.9916736483573914, -0.8861989044071583, -0.3147053384477166, -0.9981099367141724, -0.9920359900717199]"
2008-02-28,"[-0.9902806282043457, -0.9704824129740397, -0.925931864644775, -0.8897039439925696, -0.9668330800838959]"
2008-02-29,"[-0.9973243288509858, -0.9952636772854965, 0.18739789654880692, -0.9914721742920254]"
2008-03-03,"[-0.9980679154396057, -0.99345020391047]"
2008-03-04,"[-0.9983104885428398, -0.9988223956181452]"
2008-03-05,"[-0.9986630856002892, -0.9730803966522217, -0.9936571717262268, -0.9947136924537595]"
2008-03-06,"[-0.9990873206745494, -0.9996035695075989]"
2008-03-07,"[-0.9950523041232185, -0.9977696604497538, -0.536921914569143, -0.9988057613372803]"
2008-03-09,[-0.8116754293441772]
2008-03-12,[-0.9721701733814263]
2008-03-14,"[-0.998541974858062, -0.9516074337610384]"
2008-03-17,[-0.9968850099077129]
2008-03-18,[-0.8125251672627108]
2008-03-19,[-0.9977890253067017]
2008-03-20,"[-0.8147519025457911, -0.5378417372703552]"
2008-03-21,[0.8647217143730945]
2008-03-24,[-0.9629031419754028]
2008-03-25,"[-0.9955552220344543, 0.31368049704798795]"
2008-03-26,[-0.9873007989516367]
2008-03-28,[-0.994676832993006]
2008-03-31,[-0.9947388768196106]
2008-04-01,"[-0.9896666801624219, -0.9973986967286067]"
2008-04-03,"[-0.9904903464727273, -0.998199462890625, -0.5243898034095764]"
2008-04-07,[-0.9961773157119751]
2008-04-08,"[-0.9727011919021606, -0.9947117567062378]"
2008-04-14,"[-0.997567124483062, -0.37189326476031415, -0.9823126817858496, 0.4578733322625678]"
2008-04-15,"[-0.9884830117225647, -0.9933998584747314]"
2008-04-17,[0.4570842912563911]
2008-04-18,"[-0.9789089746162539, 0.7651105523109436, -0.8225001860480798, -0.971662700176239]"
2008-04-21,"[-0.9911920428276062, -0.9809927789421825, 0.9125983119010925, 0.5788201740114751]"
2008-04-22,[-0.9306538703404074]
2008-04-23,"[-0.9962994456291199, 0.703313960507512, -0.924246072769165, -0.9894601402224087]"
2008-04-25,"[-0.9993627667427063, -0.9715115193636149, -0.9989533324311249]"
2008-04-26,[0.9772903919219971]
2008-04-27,[-0.9969566839257467]
2008-04-28,"[-0.22904240590881328, -0.9846261143684387, -0.9828625321388245]"
2008-04-29,"[-0.2106776238612409, -0.9899443687568784, -0.9974440336227417, -0.9971689142678913]"
2008-04-30,"[-0.9159699943179693, -0.9699544310569763, -0.5106784316024395]"
2008-05-01,[-0.9936887381168512]
2008-05-02,[-0.9995487332344055]
2008-05-05,[-0.9989880919456482]
2008-05-07,[-0.9585312181645856]
2008-05-08,"[-0.985962287105363, -0.9500507273649806, -0.9932177265189909]"
2008-05-09,[-0.8345225049369603]
2008-05-12,"[-0.8637074242446706, -0.9922767281532288]"
2008-05-13,[-0.991109723092956]
2008-05-15,[-0.4929954721561253]
2008-05-20,[-0.7680841636928645]
2008-05-29,[-0.989578902721405]
2008-05-30,[-0.9996455907821655]
2008-06-04,"[-0.9931558515413825, -0.777108371257782, -0.9912410378456116]"
2008-06-10,[-0.9873752593994141]
2008-06-11,[-0.9891842253830122]
2008-06-27,[-0.9786460428941445]
2008-08-06,[-0.99755859375]
2008-08-13,"[-0.9603902101516724, -0.9925038814544678]"
2008-08-27,[-0.9987388253211975]
2008-09-05,[-0.9364177373658239]
2008-09-08,[-0.9401825295138051]
2008-09-09,[-0.9940345883369446]
2008-09-10,[-0.9944644570350647]
2008-09-12,[-0.9528271344170641]
2008-09-25,[0.9245152402619076]
2008-09-29,[-0.9615938067436218]
2008-09-30,[-0.999470761227688]
2008-10-01,[-0.9237484317800777]
2008-10-02,[-0.9761490814742588]
2008-10-03,[-0.9991640420630574]
2008-10-08,[-0.8964716792106628]
2008-10-09,[-0.9966979026794434]
2008-10-15,[-0.9985446480909983]
2008-10-21,"[-0.9991305470466614, -0.9923491712454912]"
2008-10-22,[-0.9947956340177195]
2008-10-28,[-0.7712649605549053]
2008-11-05,[-0.7813265919685364]
2008-11-06,[-0.9930147756284206]
2008-11-12,"[-0.9975895881652832, -0.9976160892215716]"
2008-11-17,[-0.9956350922584534]
2008-11-20,"[-0.9559357192781236, -0.9763835668563843, -0.7401930093765259]"
2008-11-21,[-0.9946817132333915]
2008-11-25,[0.9958716439486061]
2008-11-26,[-0.9882288085976636]
2008-11-28,[-0.9841922404973403]
2008-12-01,[-0.9988835200173276]
2008-12-04,[0.9900151649153376]
2008-12-08,[-0.985182810549768]
2008-12-10,"[0, 0]"
2008-12-12,[-0.9968635801255233]
2008-12-15,"[-0.9429811113217248, 0.9934681231396464]"
2008-12-23,"[0.9916171268267994, -0.9576882719993591]"
2008-12-29,[0.10926901288779385]
2009-01-02,[-0.9826638780210329]
2009-01-05,"[-0.9977109386309843, -0.9939040896193735]"
2009-01-06,"[-0.9990882873535156, -0.9987705534302307]"
2009-01-07,[-0.9942402581530293]
2009-01-09,"[0, -0.05623798505634281, -0.8627384597339163]"
2009-01-10,[-0.9982039928436279]
2009-01-12,[0.9885680675506592]
2009-01-14,[-0.9885545372962952]
2009-01-17,"[0, -0.9812796115875244]"
2009-01-20,"[-0.9950734972953796, -0.8334925174713135, -0.9429673174737205]"
2009-01-21,[-0.9981935620307922]
2009-01-22,[-0.9764426227425297]
2009-01-24,[-0.9959911704063416]
2009-01-26,"[-0.10918093798896684, -0.9800191520129862]"
2009-01-30,[0]
2009-02-01,[-0.5478614323279437]
2009-02-03,[-0.9978584612569501]
2009-02-06,[-0.9668220833386525]
2009-02-11,[-0.988923966884613]
2009-02-16,[0]
2009-02-17,[-0.9802102448221025]
2009-02-18,[0.9976453185081482]
2009-02-19,[-0.809464959886926]
2009-02-20,[-0.22727977983730355]
2009-02-23,"[-0.9797951555849782, -0.2910081623150752]"
2009-02-24,[0]
2009-02-25,"[-0.8369554290695796, 0, 0]"
2009-02-26,"[-0.9993107318878174, -0.9985766410827637]"
2009-03-03,[0.9136139750480652]
2009-03-04,[0]
2009-03-11,"[-0.9869109754709854, 0]"
2009-03-12,[0.9816150069236755]
2009-03-16,"[-0.8379540520606281, -0.9854552708053064]"
2009-03-18,"[0, -0.999137836884945]"
2009-03-19,[-0.9931804686784744]
2009-03-24,[0.041948707925306784]
2009-03-25,"[0.7004650887371837, -0.9993343949317932]"
2009-03-30,"[-0.989403247833252, -0.9755815267562866, -0.9830742478370667]"
2009-03-31,"[-0.06449444599693285, 0.5140367150306702]"
2009-04-01,[-0.9772836565971375]
2009-04-07,[-0.5113699436187744]
2009-04-08,"[-0.9937421810977599, 0.26201257380572235]"
2009-04-09,[-0.9968553357745302]
2009-04-14,[-0.991176962852478]
2009-04-15,[-0.9973152028189765]
2009-04-16,"[0, -0.9515147392868883, -0.04290000783297622]"
2009-04-18,[-0.986749917268753]
2009-04-20,"[0.9959645278582814, -0.9988825917243958]"
2009-04-21,"[-0.9966471791267395, 0]"
2009-04-22,"[0.6352997254357987, -0.8540555376272935, 0.06444097834058327]"
2009-04-23,"[-0.9903122950822879, -0.9983931183815002, -0.9747009873390198]"
2009-04-24,"[-0.9970757961273193, 0.9986612714155205]"
2009-04-25,[-0.5127026682606819]
2009-04-29,[-0.4898832772786801]
2009-05-04,"[0.033421409576701845, -0.8488128050064531]"
2009-05-07,[0.960652840668208]
2009-05-08,[0.9981513357871062]
2009-05-11,"[0, -0.9959829897115429, 0]"
2009-05-12,[-0.884290555656709]
2009-05-13,[0.12842778658725806]
2009-05-14,"[-0.9307809589354973, 0.9868390466284565]"
2009-05-17,[-0.9987438538717845]
2009-05-18,[-0.9935423226200742]
2009-05-19,"[-0.9865781563131706, -0.9836887121200562, 0]"
2009-05-20,[0.991302381052035]
2009-05-21,"[0, 0]"
2009-05-25,[0]
2009-05-26,[-0.7113825361868914]
2009-05-27,"[0, -0.9899376630783081]"
2009-05-29,[0]
2009-06-01,"[-0.8709912226127517, -0.9216212974144862, 0]"
2009-06-02,"[-0.9970996588235721, -0.942649019241333]"
2009-06-04,"[0.24650035794238806, 0.9577776135830338]"
2009-06-08,[-0.8127754926681519]
2009-06-10,"[-0.9406184994786007, -0.9708462953567505]"
